model,input_size,protocol,image_id,valid_pixels,depth_processing,prediction_dir,output_dir,alignment_a,alignment_b,abs_rel,depth_rmse_m,xyz_rmse_m
relative,280,aligned,nyu_0001,230471,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/280/prediction,outputs/relative/280/aligned,0.13148473894542176,0.2148310121324606,0.021015592994183045,0.08303915766091662,0.09059225495131966
relative,280,aligned,nyu_0101,195042,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/280/prediction,outputs/relative/280/aligned,0.21577370037341467,0.1448770336422074,0.18230658237222339,0.6230036315055487,0.6646854904366394
relative,280,aligned,nyu_0201,185643,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/280/prediction,outputs/relative/280/aligned,0.23368549032462155,0.07047073038361346,0.15884081840902914,1.2179456019491788,1.3046050998588028
relative,280,aligned,nyu_0401,225314,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/280/prediction,outputs/relative/280/aligned,0.14564992628031023,0.17389617985962533,0.03944454335806168,0.1510663442368802,0.16266063003596384
relative,280,aligned,nyu_0601,229978,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/280/prediction,outputs/relative/280/aligned,0.1006536365315599,0.14337850505298494,0.03862806793119826,0.24454677469292085,0.2622297134475698
relative,280,aligned,nyu_0801,165008,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/280/prediction,outputs/relative/280/aligned,0.1511264491611869,0.09391927717495534,0.07485263691911329,0.46443647149558487,0.4908346072100039
relative,280,aligned,nyu_1001,206243,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/280/prediction,outputs/relative/280/aligned,0.17919017635000714,0.20659390464133798,0.06397986722132182,0.21949724010486385,0.23588002644166423
relative,280,aligned,nyu_1201,212119,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/280/prediction,outputs/relative/280/aligned,0.10478873704018098,0.29211235541800334,0.06384282840826418,0.21226002226841723,0.22829227188421528
relative,518,aligned,nyu_0001,230471,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/518/prediction,outputs/relative/518/aligned,0.06777361470103632,0.2497383313610403,0.026224007612974685,0.09744405038380433,0.10665222727229774
relative,518,aligned,nyu_0101,195042,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/518/prediction,outputs/relative/518/aligned,0.18257746106754472,0.14877324175328704,0.16573291503888654,0.6835339069874097,0.7280868414638553
relative,518,aligned,nyu_0201,185643,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/518/prediction,outputs/relative/518/aligned,0.1587158907177457,0.10065376086949196,0.10255099422745195,0.828987041448478,0.8748603562045143
relative,518,aligned,nyu_0401,225314,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/518/prediction,outputs/relative/518/aligned,0.10908255929288137,0.1902011113746724,0.05594245859628196,0.1820724635562943,0.19579726863205363
relative,518,aligned,nyu_0601,229978,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/518/prediction,outputs/relative/518/aligned,0.07334899385940806,0.14570532564732425,0.03806679002026615,0.22253584912105737,0.2367865347264569
relative,518,aligned,nyu_0801,165008,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/518/prediction,outputs/relative/518/aligned,0.11402933239008861,0.11456330933084359,0.09426176832970322,0.5775527717543623,0.6177205112775107
relative,518,aligned,nyu_1001,206243,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/518/prediction,outputs/relative/518/aligned,0.13262193138389922,0.20458359550726735,0.0699231025300422,0.22379624102615941,0.2421552885263988
relative,518,aligned,nyu_1201,212119,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/relative/518/prediction,outputs/relative/518/aligned,0.07416072092347042,0.2946073393926456,0.05134101115485148,0.1744243380534717,0.18652512596775772
metric,280,raw,nyu_0001,230471,raw_metric_no_alignment_no_clipping,outputs/metric/280/prediction,outputs/metric/280/raw,,,0.6431360851146698,1.9189271100393372,2.049655613151771
metric,280,raw,nyu_0101,195042,raw_metric_no_alignment_no_clipping,outputs/metric/280/prediction,outputs/metric/280/raw,,,0.680255065372871,1.335472816870958,1.4325186049348448
metric,280,raw,nyu_0201,185643,raw_metric_no_alignment_no_clipping,outputs/metric/280/prediction,outputs/metric/280/raw,,,0.6705675650477823,1.7335620005357641,1.8834165701293046
metric,280,raw,nyu_0401,225314,raw_metric_no_alignment_no_clipping,outputs/metric/280/prediction,outputs/metric/280/raw,,,0.6582580478185778,1.860130745530187,1.98411484813297
metric,280,raw,nyu_0601,229978,raw_metric_no_alignment_no_clipping,outputs/metric/280/prediction,outputs/metric/280/raw,,,0.3846250082484139,1.3405725247172058,1.438269146119662
metric,280,raw,nyu_0801,165008,raw_metric_no_alignment_no_clipping,outputs/metric/280/prediction,outputs/metric/280/raw,,,0.6585424837034628,1.9886012729706342,2.1947081905513874
metric,280,raw,nyu_1001,206243,raw_metric_no_alignment_no_clipping,outputs/metric/280/prediction,outputs/metric/280/raw,,,0.6826638054904108,1.7915336625923726,1.9197902236359898
metric,280,raw,nyu_1201,212119,raw_metric_no_alignment_no_clipping,outputs/metric/280/prediction,outputs/metric/280/raw,,,0.3738304084277456,0.9244918405204193,0.9991179216758421
metric,518,raw,nyu_0001,230471,raw_metric_no_alignment_no_clipping,outputs/metric/518/prediction,outputs/metric/518/raw,,,0.401285081175314,1.230448022793135,1.3108757722458018
metric,518,raw,nyu_0101,195042,raw_metric_no_alignment_no_clipping,outputs/metric/518/prediction,outputs/metric/518/raw,,,0.33315439483237563,0.8759275275053118,0.927669875156262
metric,518,raw,nyu_0201,185643,raw_metric_no_alignment_no_clipping,outputs/metric/518/prediction,outputs/metric/518/raw,,,0.29793313178911235,0.9169953193346748,0.9883063593978251
metric,518,raw,nyu_0401,225314,raw_metric_no_alignment_no_clipping,outputs/metric/518/prediction,outputs/metric/518/raw,,,0.3149953920124736,1.0853900421911686,1.1545708444349478
metric,518,raw,nyu_0601,229978,raw_metric_no_alignment_no_clipping,outputs/metric/518/prediction,outputs/metric/518/raw,,,0.08658238927961688,0.42261168542855326,0.4562066518052751
metric,518,raw,nyu_0801,165008,raw_metric_no_alignment_no_clipping,outputs/metric/518/prediction,outputs/metric/518/raw,,,0.11375514696625957,0.5070140940082115,0.5391125740945966
metric,518,raw,nyu_1001,206243,raw_metric_no_alignment_no_clipping,outputs/metric/518/prediction,outputs/metric/518/raw,,,0.13759809757192654,0.3368197276009661,0.3671104173497443
metric,518,raw,nyu_1201,212119,raw_metric_no_alignment_no_clipping,outputs/metric/518/prediction,outputs/metric/518/raw,,,0.0922110610690998,0.26910455774708797,0.28302756267125806
metric,280,aligned,nyu_0001,230471,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,1.8712705072860651,-0.046592712607422856,0.032906064125750256,0.12463576064698874,0.13575747638024427
metric,280,aligned,nyu_0101,195042,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,1.7651915996994574,-0.039533590457183354,0.18908383072049542,0.7716561862938986,0.8101142282233862
metric,280,aligned,nyu_0201,185643,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,2.6070741819745753,-0.23056414672183437,0.20959439523160156,1.372271581723837,1.4817083882073716
metric,280,aligned,nyu_0401,225314,inverse_depth_affine_gt_aligned_clipped_0.1_10m,outputs/metric/280/prediction,outputs/metric/280/aligned,1.8411092425007611,-0.03904897102834364,0.06343045756541994,0.21249735346213702,0.22804639023511233
